ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:53:00,server_1,17.54,94.88,219.8,274.09,51.97
20:53:00,server_20,41.7,53.5,328.57,483.41,44.19
20:53:00,server_19,26.71,82.81,183.0,111.29,86.68
20:53:00,server_18,52.74,47.27,4780.34,4998.71,1132.38
20:53:00,server_17,21.24,20.58,195.39,286.61,25.59
20:53:00,server_16,55.76,69.79,4348.21,5150.76,1456.36
20:53:00,server_14,65.16,73.94,676.44,583.8,150.06
20:53:00,server_13,39.49,48.24,430.1,484.69,0.0
20:53:00,server_12,39.74,37.76,382.19,379.78,54.72
20:53:00,server_11,20.43,19.52,235.04,209.33,0.0
20:53:00,server_15,49.53,20.49,98.16,52.46,4356.22
20:53:00,server_9,69.05,58.55,2613.28,3034.48,1572.88
20:53:00,server_8,48.51,39.79,161.43,90.4,4342.33
20:53:00,server_7,99.56,90.79,908.8,531.7,93.79
20:53:00,server_6,99.08,12.08,868.06,650.82,78.69
20:53:00,server_5,55.59,46.15,19163.81,18800.2,72.12
20:53:00,server_4,88.62,85.44,853.1,719.9,42.86
20:53:00,server_3,26.76,31.36,312.76,404.14,0.0
20:53:00,server_2,27.68,41.8,60.15,82.53,8352.04
20:53:00,server_10,7.61,80.62,88.97,110.81,104.83
20:53:05,server_13,91.18,95.76,924.74,1010.22,106.99
20:53:05,server_14,63.98,78.91,660.9,931.65,79.61
20:53:05,server_15,47.0,60.96,437.88,341.36,82.49
20:53:05,server_16,53.74,44.49,534.02,478.73,90.54
20:53:05,server_20,98.58,86.11,1016.52,1213.82,113.5
20:53:05,server_18,60.82,67.29,2747.71,2445.1,521.86
20:53:05,server_19,31.7,46.05,179.82,263.02,0.0
20:53:05,server_12,30.69,21.89,310.53,305.93,5.05
20:53:05,server_17,71.71,50.19,9630.25,10797.01,26.69
20:53:05,server_11,69.0,67.04,699.76,351.33,132.37
20:53:05,server_5,40.06,28.23,79.23,94.7,3086.45
20:53:05,server_9,29.8,94.95,286.35,404.8,113.4
20:53:05,server_10,61.78,92.05,621.91,812.18,36.16
20:53:05,server_2,35.72,33.77,344.05,321.66,38.73
20:53:05,server_3,42.58,46.61,2684.12,2212.92,1650.44
20:53:05,server_4,53.1,51.07,4366.83,4789.43,1578.1
20:53:05,server_1,46.8,60.87,3175.35,2677.65,1440.19
20:53:05,server_6,9.14,98.41,134.07,165.9,0.0
20:53:05,server_7,90.49,22.38,959.99,1282.49,22.04
20:53:05,server_8,23.03,47.04,15.36,9.58,6696.3
20:53:10,server_20,51.05,60.28,542.75,278.46,37.56
20:53:10,server_19,35.9,39.63,243.33,288.22,0.0
20:53:10,server_18,54.89,58.67,609.85,571.49,114.63
20:53:10,server_17,87.33,87.01,816.51,903.8,107.17
20:53:10,server_16,61.81,58.02,10601.98,12482.32,123.37
20:53:10,server_14,62.87,77.92,628.78,456.21,141.12
20:53:10,server_13,85.59,4.86,869.14,859.45,121.46
